id,Ãû×Ö,Ä£ÐÍid,Í·ÏñID,¹¥»÷ÀàÐÍ,µÈ¼¶,ÉúÃüÖµ,ÒÆ¶¯ËÙ¶È,¹¥»÷·¶Î§,Îï¹¥,·¨¹¥,ÎïÀí·ÀÓù,·¨Êõ·ÀÓù,ÃüÖÐ,¶ãÉÁ,±©»÷,¿¹±©,¼¼ÄÜ1,¼¼ÄÜ1µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ1µÄÊ©·¨Ê±¼ä,¼¼ÄÜ2,¼¼ÄÜ2µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ2µÄÊ©·¨Ê±¼ä,¼¼ÄÜ3,¼¼ÄÜ3µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ3µÄÊ©·¨Ê±¼ä,¼¼ÄÜ4,¼¼ÄÜ4µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ4µÄÊ©·¨Ê±¼ä,É¾³ý
int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,É¾³ý
1101,Ð¡ÎÏ,3001,907,0,3,48,21500,,45,45,35,33,74,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1102,Ä¾é³ÈË,3020,911,0,6,87,21500,,75,75,54,51,90,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1103,ÏÉÁéÂ¹,2719,743,0,6,87,21500,,75,75,49,46,90,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1104,±©Á¦ÐÜ,2720,741,0,6,90,21500,,75,82,43,53,90,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1105,ßÃ×åºóÒá,2019,370,0,9,130,21500,,106,106,74,70,108,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1106,Ç¼×åºóÒá,3003,908,0,9,130,21500,,106,106,74,70,108,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1107,ôÉ×åºóÒá,2694,726,0,9,136,21500,,106,106,74,70,108,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1108,Ó½´ººü,3002,906,0,10,210,21500,,93,93,81,76,114,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1109,ÁéÅ«,2670,677,0,11,208,21500,,127,139,79,96,120,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1110,Ñý»¢Íõ,1350,314,0,16,264,21500,,92,92,124,117,155,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1111,ÄÏ¹Ï¾ý,3004,909,0,16,264,21500,,183,183,124,117,155,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1112,Ð¡ÂÌ,2423,346,0,3,48,21500,,45,45,35,33,74,1,,,701002,10000,1500,,,,,,,,,,É¾³ý
1113,·âÄ§½£,3345,399,1,1,108,21500,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
