 ,Name,ID,ResId,Transform,ResType,AniType,AniSpeed,AniScale,AniDir,AniColor,AniTrans,MagicProperty_OffsetType,AniOffset,OriginType,FadeType,InheritSR,TopmostEffect,AniOpt1Scale,AniOpt2Scale,AniOpt3Scale,,,删除
#层次深度,对象名,对象Id,资源ID,继承性,资源类型,动画类型,动画速度,动画缩放比例,是否区分方向,动画颜色,动画透明度,是否先偏移再随模型旋转（填0则先跟随模型旋转，再平移）,动画偏移位置（左右，上下，前后）,动画原点偏移类型,淡出类型,是否继承拥有者的体型,光效是否置顶,光效1级优化,光效2级优化,光效3级优化,延迟渲染毫秒数,继承体型,删除
int,string,int,int,int,int,int,float,float,int,string,int,int,string,int,int,int,int,float,float,float,int,int,string
1,技能动画,1,,,,,,,,,,,,,,,,,,,,,删除
2,刀光1,1001,155,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,刀光击中,1002,157,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,冲击刀光2,1003,159,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,旋转刀光,1004,160,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,刀光击中2,1005,161,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,震地,1006,166,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,状态（变身）,1007,177,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,双刀光,1008,180,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,双刀光击中,1009,181,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,跳劈刀光,1010,188,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,状态（变身）,1011,196,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态,1012,197,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,刀光1,1013,199,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,地裂斩,1014,206,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,玄宗火聚气,1015,193,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,状态（变身火）,1016,196,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,天上砸火球,1017,198,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,天上掉冰,1018,203,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,玄宗冰聚气,1019,205,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,冰层,1020,207,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,状态身体网,1021,216,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,状态身体符,1022,226,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,状态身体冰护,1023,231,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,冰箭飞,1024,233,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,冰柱爆,1025,235,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,火球飞,1026,238,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,状态,1027,241,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,火地面爆炸,1028,244,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,雷电球,1029,251,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,闪电天降,1030,253,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下绿环圈,1031,256,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,身体被缠绕,1032,258,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,身体状态,1033,262,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,天上一片雷,1034,267,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,一片毒雾,1035,270,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,身体状态,1036,277,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（暗）,1037,268,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,小片毒雾,1038,292,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,暗飞行球,1039,298,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,暗飞行球炸,1040,299,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（药）,1041,339,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（药）,1042,349,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（药）,1043,366,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（药）,1044,373,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（药）,1045,1892,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,脚下状态（药）,1046,1892,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,飞箭,1047,2026,,0,1,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,飞箭爆炸,1048,2027,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,大飞箭,1049,2028,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,飞箭2,1050,2030,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,飞箭2爆炸,1051,2031,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,大飞箭2,1052,2032,,0,0,1,1,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,神秘人,1053,155,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,神秘人,1054,180,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,神秘人,1055,344,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,银狐,1056,184,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,银狐,1057,237,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,银狐,1058,260,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,祭坛光效,1059,1533,,0,0,1,2,0,,255,,,,,1,1,1,1,1,,,删除
2,仙鹤攻击,1060,590,,0,0,2,1.5,0,,255,,0;70;0,,,1,1,1,1,1,,,删除
2,zs_pofenzhan_sf_攻击37动作,1061,4902,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_pofenzhan_sf_攻击38动作,1062,4903,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_pofenzhan_sf_攻击39动作,1063,4904,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_pojia_sf_攻击37动作,1064,4918,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_pojia_sj_受击,1065,4919,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_pojia_cx_持续掉血,1066,4917,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_zhanhou_sf_释放,1067,4926,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_zhanhou_sj_状态,1068,4927,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_zhongji_sf_攻击39动作,1069,4937,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_chaofeng_sf_释放,1070,4885,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_chaofeng_sj_受击头顶,1071,4886,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_chaofeng_sj_受击,1072,4887,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_chongfeng_sf冲锋37动作,1073,4893,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,zs_chongfeng_sj受击,1074,4894,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,zs_chongfeng_cx眩晕持续,1075,4892,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_dahuoqiu_fx飞行,1076,4634,,0,0,0.5,1.2,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,fs_dahuoqiu_fx施法,1077,4635,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_dahuoqiu_fx受击,1078,4636,,0,0,1.5,2.5,0,,255,,,,,1,1,1,1,1,,,删除
2,fs_dongjieshu_cx冻结,1079,4647,,0,0,0.5,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_dongjieshu_sf施法,1080,4648,,0,0,0.7,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_huoqiushu_fx飞行,1081,4658,,0,0,1,1.5,1,,255,,30;70;0,,,1,,1,1,1,,,删除
2,fs_huoqiushu_sf1施法1,1082,4659,,0,0,1.2,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_huoqiushu_sf2施法2,1083,4660,,0,0,1.2,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_huoqiushu_sf3施法3,1084,4661,,0,0,1.2,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_lieyanshu_cx持续,1085,4674,,0,0,0.5,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_lieyanshu_sf施法,1086,4675,,0,0,0.5,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_xianfushu_sf施法,1087,4682,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,fs_xianfushu_sj效果,1088,4683,,0,0,0.7,1,0,,255,,,,,1,,1,1,1,,,删除
2,ws_anhunzhou_fx飞行,1089,4755,,0,0,0.7,1.2,1,,255,,0;70;0,,,1,1,1,1,1,,,删除
2,ws_anhunzhou_sf施法,1090,4756,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,ws_anhunzhou_sj受击,1091,4757,,0,0,1,1,0,,255,,,,,1,,1,1,1,,,删除
2,ws_anyingshu_fx01飞行37动作,1092,5173,,0,0,0.7,0.6,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,ws_anyingshu_fx02飞行38动作,1093,4769,,0,0,0.7,0.6,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,ws_anyingshu_fx03飞行39动作,1094,4770,,0,0,0.7,0.6,1,,255,,0;70;0,,,1,,1,1,1,,,删除
2,ws_anyingshu_sf01,1095,4771,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,ws_anyingshu_sf02,1096,4772,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
2,ws_anyingshu_sf03,1097,4773,,0,0,1,1,1,,255,,,,,1,,1,1,1,,,删除
